Element,Gx,Gy,Gz,s,Length,Value,Chi1,Chi2,Chi3,#_µ,mag.#,type
,,,,,,,,,,,,
QC1LPE435,0.899463,-452.831813,2.38E-04,0.43,0.01,1.96E-07,2.863993,0.061318,7.43E-20,90,1,1
,,,,,,,,,,,,
QC1LPE445,0.90945,-452.831313,2.49E-04,0.44,0.01,3.37E-07,2.863962,0.062419,7.41E-20,92,1,2
,,,,,,,,,,,,
QC1LPE455,0.919438,-452.830814,2.60E-04,0.45,0.01,4.31E-07,2.86393,0.063468,7.40E-20,94,1,3
,,,,,,,,,,,,
QC1LPE465,0.929425,-452.830314,2.71E-04,0.46,0.01,5.30E-07,2.8639,0.064458,7.38E-20,96,1,4
,,,,,,,,,,,,
QC1LPE475,0.939413,-452.829814,2.82E-04,0.47,0.01,6.34E-07,2.86387,0.065379,7.36E-20,98,1,5
,,,,,,,,,,,,
QC1LPE485,0.9494,-452.829315,2.94E-04,0.48,0.01,7.46E-07,2.863841,0.066221,7.35E-20,100,1,6
,,,,,,,,,,,,
QC1LPE495,0.959388,-452.828815,3.05E-04,0.49,0.01,8.66E-07,2.863814,0.066969,7.33E-20,102,1,7
,,,,,,,,,,,,
QC1LPE505,0.969375,-452.828315,3.17E-04,0.5,0.01,9.96E-07,2.863789,0.067608,7.32E-20,104,1,8
,,,,,,,,,,,,
QC1LPE515,0.979363,-452.827816,3.29E-04,0.51,0.01,1.14E-06,2.863765,0.068119,7.30E-20,106,1,9
,,,,,,,,,,,,
QC1LPE525,0.98935,-452.827316,3.41E-04,0.52,0.01,1.30E-06,2.863745,0.068477,7.29E-20,108,1,10
,,,,,,,,,,,,
MQC1LE,0.999338,-452.826817,3.53E-04,0.53,0,0,2.863728,0.068655,7.28E-20,110,1,11
,,,,,,,,,,,,
QC1LPE535,0.999338,-452.826817,3.53E-04,0.53,0.01,1.47E-06,2.863728,0.068655,7.28E-20,111,1,12
,,,,,,,,,,,,
QC1LPE545,1.009325,-452.826317,3.65E-04,0.54,0.01,1.66E-06,2.863715,0.068617,7.28E-20,113,1,13
,,,,,,,,,,,,
QC1LPE555,1.019313,-452.825817,3.77E-04,0.55,0.01,1.88E-06,2.863707,0.068321,7.27E-20,115,1,14
,,,,,,,,,,,,
QC1LPE565,1.0293,-452.825318,3.89E-04,0.56,0.01,2.13E-06,2.863705,0.067715,7.27E-20,117,1,15
,,,,,,,,,,,,
QC1LPE575,1.039288,-452.824818,4.00E-04,0.57,0.01,2.42E-06,2.86371,0.066736,7.27E-20,119,1,16
,,,,,,,,,,,,
QC1LPE585,1.049275,-452.824319,4.12E-04,0.58,0.01,2.75E-06,2.863725,0.065305,7.28E-20,121,1,17
,,,,,,,,,,,,
